"PERSON_ID","FINAL_PARENT_OKATO_NAME"
1094,"Санкт-Петербург"
1095,"Приморский край"
1096,"Приморский край"
1097,"Москва"
1098,"Москва"
1099,"Самарская область"
1100,"Чувашская Республика - Чувашия"
1101,"Санкт-Петербург"
1102,"Амурская область"
1103,"Челябинская область"
1104,"Республика Саха"
1105,"Москва"
1106,"Санкт-Петербург"
1107,"Москва"
1108,"Пермский край"
1109,"Москва"
1110,"Пермский край"
1111,"Свердловская область"
1112,"Московская область"
1113,"Костромская область"
1114,"Москва"
1115,"Липецкая область"
1116,"Оренбургская область"
1117,"Псковская область"
1118,"Санкт-Петербург"
1119,"Пермский край"
1120,"Москва"
1121,"Алтайский край"
1122,"Санкт-Петербург"
1123,"Новосибирская область"
1124,"Ульяновская область"
1125,"Приморский край"
1126,"Московская область"
1127,"Псковская область"
1128,"Санкт-Петербург"
1129,"Московская область"
1130,"Республика Башкортостан"
1131,"Кировская область"
1132,"Республика Башкортостан"
1133,"Республика Карелия"
1134,"Оренбургская область"
1135,"Свердловская область"
1136,"Самарская область"
1137,"Санкт-Петербург"
1138,"Московская область"
1139,"Республика Дагестан"
1140,"Москва"
1141,"Санкт-Петербург"
1142,"Омская область"
1143,"Ростовская область"
1144,"Москва"
1145,"Смоленская область"
1146,"Свердловская область"
1147,"Санкт-Петербург"
1148,"Московская область"
1149,
1150,"Московская область"
1151,"Москва"
1152,"Алтайский край"
1153,"Санкт-Петербург"
1154,"Свердловская область"
1155,"Республика Бурятия"
1156,"Санкт-Петербург"
1157,"Свердловская область"
1158,"Свердловская область"
1159,"Свердловская область"
1160,"Московская область"
1161,"Свердловская область"
1162,"Пермский край"
1163,"Курганская область"
1164,"Свердловская область"
1165,"Курская область"
1166,"Липецкая область"
1167,"Санкт-Петербург"
1168,"Самарская область"
1169,"Липецкая область"
1170,"Пермский край"
1171,"Хабаровский край"
1172,"Ставропольский край"
1173,"Ростовская область"
1174,
1175,"Москва"
1176,"Красноярский край"
1177,"Ростовская область"
1178,"Новосибирская область"
1179,"Московская область"
1180,"Ульяновская область"
1181,"Владимирская область"
1182,"Московская область"
1183,"Владимирская область"
1184,"Москва"
1185,"Пермский край"
1186,"Республика Башкортостан"
1187,"Ставропольский край"
1188,"Московская область"
1189,"Ставропольский край"
1190,"Санкт-Петербург"
1191,"Санкт-Петербург"
1192,"Самарская область"
1193,
1194,"Самарская область"
1195,"Пермский край"
1196,"Свердловская область"
1197,"Москва"
1198,"Санкт-Петербург"
1199,"Московская область"
1200,"Оренбургская область"
1201,"Оренбургская область"
1202,"Красноярский край"
1203,"Саратовская область"
1204,"Республика Карелия"
1205,"Брянская область"
1206,"Удмуртская Республика"
1207,"Пермский край"
1208,"Санкт-Петербург"
1209,"Оренбургская область"
1210,"Смоленская область"
1211,"Ростовская область"
